ชื่ออาหาร,ingredient_full_json,ระดับแคลอรี่,ระดับโปรตีน,ระดับไขมัน,ระดับคาร์บ,วัตถุดิบ_ไม่มีปริมาณ,query1 อยากกินอาหารครบ,query2,query3
แคบหมูผัดเม็ดมะม่วงหิมพานต์,"- แคบหมู ""ศิราณี"" แบบไร้มัน หรือติดมันก็ได้  1 + 1/2 ถ้วย- หอมใหญ่หั่นชิ้น   1/2 หัวใหญ่- เห็ดฟาง ดอกขนาดกลาง (ดอกตูม) ผ่าครึ่ง  1 ถ้วย- เม็ดมะม่วงหิมพานต์ทอด 1/2 ถ้วย- พริกชี้ฟ้าแห้งทอด 1/2 ถ้วย- ต้นหอมหั่นท่อนสั้น 1 นิ้ว 2 ต้น  (ใช้เฉพาะส่วนที่เป็นใบสีเขียว)- พริกชี้ฟ้าแดง ซอยเป็นเส้น 1 เม็ดใหญ่
- ซีอิ๊วขาว 1 ช้อนโต๊ะ - ซอสหอยนางรม  2 ช้อนโต๊ะ  - น้ำตาลทราย  1 + 1/4 ช้อนโต๊ะ - น้ำมันงา 1/2 ช้อนโต๊ะ - กระเทียมไทยกลีบเล็กสับหยาบ ๆ 1 ช้อนโต๊ะ - น้ำมันสำหรับผัด 2 ช้อนโต๊ะ",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บสูง,"แคบหมู, หอมใหญ่, เห็ดฟาง, เม็ดมะม่วงหิมพานต์, พริกชี้ฟ้า,  ต้นหอม, พริกชี้ฟ้าแดง, ซีอิ๊วขาว, ซอสหอย, น้ำตาลทราย, น้ำมันงา, กระเทียม, น้ำมัน",อยากเอาแคบหมูมาทำอาหาร ใส่เม็ดมะม่วง หอมใหญ่ เห็ด พริก ทำอะไรได้บ้าง,แคบหมู แคบหมี ได้มา ทำอะไรกินดี อยากให้มีรสชาติจัดจ้าน,เมล็ดมะม่วงหิมพานต์ทำอะไรกินได้บ้าง 
ซี่โครงหมูตุ๋นซอสกระเทียม,"- ซี่โครงอ่อน (หมู)  700 กรัม สับเป็นชิ้นยาวประมาณ 3 นิ้ว  กว้างประมาณ 1 นิ้ว- กระเทียมจีนสับ 1/3 ถ้วย- ซอสกระเทียม แจ๊สซี่  6 ช้อนโต๊ะ - ซอสหอยนางรม 4 ช้อนโต๊ะ - เกลือป่น 1/2 ช้อนชา- พริกไทยป่น 1/2 ช้อนชา - น้ำตาลทราย 2 ช้อนชา- น้ำมันพืช  (พิมใช้น้ำมันรำข้าว) 1/2 ช้อนโต๊ะ - น้ำเปล่า  1000 มิลลิลิตร 
** อ่านคำอธิบาย วิธีใช้ ""ถ้วย ถ้วยตวง ช้อนตวง ช้อนโต๊ะ ช้อนชา"" ได้ >>> ที่นี่ <<<   นะคะ
** เปลี่ยนจากซี่โครงหมู เป็นไก่ส่วนสะโพกได้ ถ้าชอบ ^_^
** ซอสกระเทียมของแจ๊สซี่ ซื้อได้ที่ BigC, Makro, MaxValu, Lotus บริเวณ ""ตู้แช่เย็น"" แผนกอาหารสด  ขวดละ 40 กว่าบาทค่ะ",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง," ซี่โครงอ่อน, กระเทียม, ซอสกระเทียม, ซอสหอยนางรม, เกลือ, พริกไทย, น้ำตาลทราย, น้ำมันพืช, น้ำเปล่า",อยากเอาซี่โครงมาตุ๋น แต่อยากให้มีรสชาติจัดจ้านหลากหลายทำอะไรกินดี,มีซี่โครงหมูเยอะ อยากทำเมนูตุ๋นที่หอมกระเทียมแบบซอสเข้มข้น ตุ๋นจนนุ่ม,อยากทำซี่โครงหมูตุ๋นซอสกระเทียมแบบกินกับข้าวสวยร้อน ๆ
หมูย่างผัดพริกกระเทียม,"- สันคอหมู / สันนอกหมู / สะโพกหมู  300 กรัม  แล่เป็นชิ้นหนา 1 ซม. - ซอสหมักหมูนุ่ม สูตร 2 (กระเทียมพริกไทย) ตราวิกกี้   5 ช้อนโต๊ะ 
- กระเทียมสับ 1/2 ถ้วย- พริกจินดาซอย 1/4 ถ้วย - รากผักชีซอย 1/2  ช้อนโต๊ะ - ต้นหอมซอย 1/4 ถ้วย- เกลือสมุทรป่น 1/2 ช้อนชา- ซอสกระเทียม ตราแจ๊สซี่ 2 + 1/2 ช้อนโต๊ะ - น้ำมันสำหรับผัด 2 ช้อนโต๊ะ  
*** ถ้วย ในที่นี้หมายถึง ถ้วยตวงนะคะ    อ่านรายละเอียดเกี่ยวกับการใช้ช้อนตวง ถ้วยตวงแบบคร่าวๆ  ได้   >> ที่นี่ <<  ค่ะ
*** ซอสหมักหมูนุ่มวิกกี้  ซอสกระเทียมแจ๊สซี่  ซื้อได้ในเซเว่น และตามซุปเปอร์มาร์เกตทั่วไป  เช่น   Max value, Big C, Macro   ตรงตู้แช่ของสดนะคะ",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บกลาง,"สันคอหมู, ซอสหมักหมูนุ่ม,  กระเทียมสับ, พริกจินดา, รากผักชี,  ต้นหอม, เกลือ, ซอสกระเทียม, น้ำมัน",สันคอหมู ผงปรุงหมักหมูนุ่ม กระเทียม พริก สามเกลอ แนะนำเมนูหน่อย,ในครัวมีหมูย่าง กระเทียม พริก น้ำปลา น้ำตาล อยากทำหมูย่างผัดพริกกระเทียมรสจัด ๆ,มีหมูย่างเหลือ อยากเอามาผัดกับพริกกระเทียมแบบแห้ง ๆ เผ็ดนิด หอมกระเทียมเจียว
หมูฝอย,"- หมูสะโพก 500 กรัม- น้ำตาลทรายขาว  150 กรัม- เกลือป่น 2 ช้อนชา   - หอมแดงซอย 1 ถ้วย- น้ำมันพืช 1 + 1/2 ลิตร 
*** ถ้าไม่ทานหมู ก็ใช้ #อกไก่ไม่เอาหนัง  หรือใช้เป็น #เนื้อวัว แทนได้ค่ะ 
*** เกลือที่ใช้เป็นเกลือสมุทรป่น ไม่ใช่เกลือไอโอดีนที่เค็มจัด ๆ นะคะ *** หอมแดงซอย ถ้าหาได้ พิมแนะนำให้ใช้เป็นหอมแดงไทย เพราะมีความหอมหวานมากกว่าหอมแดงประเภทอื่น",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บกลาง,"หมูสะโพก, น้ำตาลทรายขาว, เกลือป่น,  หอมแดง, น้ำมันพืช",มี หมู น้ำตาล เกลือ ทำเมนูอะไรดี ขอมให้หมูรสชาติหวานๆ,มีหมูสะโพก น้ำตาล เกลือ หอมแดง น้ำมัน อยากทำให้หมูมีรสชาติหวาน ,อยากลองทำเมนูหมูคั่วๆใส่หอมแดง กินกับข้าวเหนียวร้อน  น่าจะอร่อย
ข้าวผัดกากหมู,"- ข้าวสวยหอมมะลิ 2 + 1/2 ถ้วย- กระเทียมโขลก 2 ช้อนโต๊ะ - รากผักชีโขลก 1/2 ช้อนโต๊ะ - พริกขี้หนูสวนซอย  2 ช้อนโต๊ะ   (หรือตามความเผ็ดที่ชอบ)- กากหมู  1/2  ถ้วย  - น้ำปลา 1 ช้อนโต๊ะ - ซอสปรุงรส 1/2 ช้อนโต๊ะ - น้ำตาลทราย 1/2 ช้อนชา- ผักชีหั่นหยาบ  ๆ  2 ช้อนโต๊ะ - น้ำมันหมู  2 ช้อนโต๊ะ 
*** คำว่า ถ้วย = ถ้วยตวง / ช้อนชา =  ช้อนตวงแบบช้อนชา / ช้อนโต๊ะ = ช้อนตวงแบบช้อนโต๊ะ   ทั้งหมดสามารถอ่านรายละเอียดและวิธีการใช้งานแบบคร่าว ๆ ได้  >> ที่นี่ << นะคะ 
*** ได้ประมาณ 2 จานตามในภาพด้านบน",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บสูง,"ข้าวสวย,  กระเทียม, รากผักชี, พริกขี้หนู, กากหมู, น้ำปลา, ซอสปรุงรส, น้ำตาลทราย, ผักชี, น้ำมันหมู",อยากกิน ข้าวผัด ใส่ อะไรกรอบๆ รสชาติ นัวๆ เค็ม สามเกลอ กระเทียม,อยากทำข้าวผัดหอม ๆ แบบบ้าน ๆ มีข้าวสวย กากหมู กระเทียม รากผักชี ,อยากกินกากหมูเยอะ ทำเมนูอะไรจะได้กินกากหมูเยอะๆ
ซี่โครงหมูอบพริกไทยดำ,"- ซี่โครงอ่อน สับเป็นชิ้น  1000 กรัม  - เนยจืด 2 ช้อนโต๊ะ- กระเทียมกลีบใหญ่สับ  2 ช้อนโต๊ะ - หอมใหญ่สับ  1/4 ถ้วย- มัสตาร์ดผง 1/2  ช้อนโต๊ะ - พริกไทยดำป่น  2 ช้อนโต๊ะ- พริกไทยดำเม็ด (ไว้แต่งหน้าตอนตักใส่ชาม)  1 ช้อนโต๊ะ- ปาปริก้า 1/2 ช้อนโต๊ะ - ซอสมะเขือเทศ  1/4 ถ้วย- น้ำซุปกระดูกหมู หรือน้ำเปล่า  5  ถ้้วย- น้ำตาลทราย  1 +1/2 ช้อนโต๊ะ   (ถ้าชอบหวานนิดๆ  ใส่ 2 ช้อนโต๊ะ) - เกลือป่น 1 - 2  ช้อนโต๊ะ   
** ในส่วนของเกลือ พิมไม่แน่ใจว่าตัวเองใส่ไป 1 หรือ 2 ช้อนโต๊ะ  เพราะกระดาษจดโดนน้ำ ตัวเลขเลยเลือน  เพราะนั้นเพื่อน ๆ ลองใส่ไปช้อนเดียวก่อนนะคะ ถ้าชิมแล้วไม่เค็ม ค่อยเพิ่มไปอีกสัก 1/2 ช้อน หรือ 1 ช้อนอ่ะค่ะ
** สามารถเติมน้ำตาลเพิ่มได้ ถ้าชอบหวานกว่านี้ แต่ไม่ควรเกิน 2 ช้อนโต๊ะ
** เนย กับ มาการีน เป็นคนละอย่างกันนะคะ
** ถ้าไม่มีมัสตาร์ดผง ใช้แบบครีมได้ แต่ขอให้เป็นมัสตาร์ดเพียว ๆ  ไม่ใช่มัสตาร์ดที่ปรุงรสแล้ว อย่าง ดิจองมัสตาร์ด เยลโล่มัสตาร์ด่ะ",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"ซี่โครงอ่อน, เนยจืด, กระเทียม, หอมใหญ่, มัสตาร์ด, พริกไทยดำ, ปาปริก้า, ซอสมะเขือเทศ, น้ำซุปกระดูกหมู, น้ำตาลทราย, เกลือ",มีหมู พริกไทย เนย มัสตาร์ด พริกไทย ,สูตรซี่โครงอร่อยๆ ,อยากกิินหมูเผ็ดๆ นุ่มลึก ด้วย พริกไทย ทำเมนูแบบใด
หมูตุ๋นปลาอินทรีเค็ม,- หมูสามชั้น หรือหมูสันคอ  500 กรัม หั่นชิ้นใหญ่กว่าหัวแม่มือสักหน่อยนึง- ซอสหมักหมูนุ่ม วิกกี้  3 ช้อนโต๊ะ - ปลาอินทรีเค็มหอม ทอด 1 ชิ้น  (40 กรัม) - ขิงแก่หั่นเป็นแว่น  5 ชิ้น- กระเทียมสับ  2 ช้อนโต๊ะ - ซอสกระเทียม แจ๊สซี่ 2 ช้อนโต๊ะ - ซีอิ๊วขาว 2 ช้อนโต๊ะ - น้ำตาลทราย 1 ช้อนชา- น้ำมันพืช 1 ช้อนโต๊ะ - พริกไทยป่น 1/2 ช้อนชา- น้ำเปล่า 1 ลิตร  ,แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"หมูสาม, ปลาอินทรีเค็มหอม, ขิงแก่, กระเทียม, ซอสกระเทียม, ซีอิ๊วขาว, น้ำตาลทราย, น้ำมันพืช, พริกไทย, น้ำเปล่า","ทำอาหารอะไรดี จาก หมูสาม, ปลาอินทรีเค็มหอม, ขิงแก่, กระเทียม ","ซี่โครงอ่อน, เนยจืด, กระเทียม, หอมใหญ่, มัสตาร์ด, พริกไทยดำ, ปาปริก้า, ซอสมะเขือเทศ",มี หมู ปลาอินรีย์เค็ม อยากเอามาทำอาหาร ที่กินได้นานๆ ใส่กระเทียมด้วยน่าจะดีนะ
ยำหมูสับทอดปลาเค็ม,- หมูสับ 300 กรัม- ซอสปลาเค็ม ตราเด็กสมบูรณ์ 2 ช้อนโต๊ะ- ซีอิ๊วขาว ตราเด็กสมบูรณ์ 2 ช้อนโต๊ะ- แป้งทอดกรอบ ½ ถ้วย- พริกขี้หนูสวนซอย 1 ช้อนโต๊ะ- ต้นหอมซอย 1 ช้อนโต๊ะ- ผักชีซอย 1 ช้อนโต๊ะ- หอมแดงซอย 2 ช้อนโต๊ะ- มะนาว 1-2 ลูก- น้ำมันสำหรับทอด 1-2 ถ้วย,แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"หมูสับ, ซอสปลาเค็ม, ซีอิ๊วขาว, แป้งทอดกรอบ, พริกขี้หนู, ต้นหอม, ผักชี, หอมแดง, มะนาว, น้ำมัน",อยากกินยำแส่บๆ จาก ปลาเค็ม หมูสับ แป้ง พริก กระเทียม,อยากกินยำ เค็มๆ มีโปรตีนกลางๆ,มี ปลาเค็มเหลือเยอะมากกกกก กระเทียม หอมแดง มะนาว น้ำปลา หาเมนูให้ทำหน่อย ของรสชาติแซ่บๆ
พริกหยวกยัดไส้หมูสับทรงเครื่อง,"- พริกหยวก 7 - 10 เม็ด - หมูสับติดมันเล็กน้อย  200 กรัม- รากผักชีโขลก 2 ช้อนชา- ซอสหมักหมูนุ่ม วิกกี้ สูตร1 2 ช้อนโต๊ะ - ซอสกระเทียม แจ๊สซี่  1 ช้อนโต๊ะ 
- กระเทียมสับหยาบ  3 ช้อนโต๊ะ - น้ำมันสำหรับผัด 2 ช้อนโต๊ะ - น้ำซุป 100 มิลลิิลิตร  - ซอสกระเทียม ตราแจ๊สซี่ 2  ช้อนโต๊ะ - ซอสเผ็ด ตราแจ๊สซี่ 2 ช้อนโต๊ะ - ซอสหอยนางรม 2 ช้อนโต๊ะ - น้ำตาลทราย 1/2 ช้อนชา- น้ำมันงา 1 ช้อนชา- เหล้าจีน 1 ช้อนโต๊ะ  
- พริกชี่้ฟ้าแดงซอย 1 ช้อนโต๊ะ - ใบต้นหอมซอย 1 ช้อนโต๊ะ 
*** ซอสหมักหมูนุ่ม วิกกี้  ซอสกระเทียม ซอสเผ็ด แจ๊สซี่ แบบที่พิมใช้  ซื้อได้ที่ BigC, Makro, MaxValu, Tesco Lotus บริเวณตู้แช่เย็น แถว ๆ ที่แช่พวกเนื้อสัตว์ ผัก ราคาขวดละประมาณ 40 กว่าบาท   หรือจะสั่งซื้อ >> ที่นี่ << ก็ได้อ่ะค่ะ",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"พริกหยวก, หมูสับ, รากผักชี, ซอสหมัก, ซอสกระเทียม, กระเทียม, น้ำมัน, น้ำซุป, ซอสกระเทียม, ซอสเผ็ด, ซอสหอยนางรม, น้ำตาลทราย, น้ำมันงาม เหล้าจีน, พริกชี้ฟ้า",พริกหยวกใหญ่มากกกก เอามาทำอะไรกินดี,มีพริกหยวกทำอะไรกินดี ,มีหมูสับเหลือเยอะมาก แต่มีหลายส่วนผสมกัน เลยออยากลองไปทำกับอะไรบางอย่าง เอาไปกินกับอะไรดี
ตับผัดกระเทียมพริกไทย,"- ตับหมู หั่นเป็นชิ้นหนาประมาณ 1/2 ซม. 250 กรัม- นมข้นจืด หรือ นมจืด  1/2 ถ้วย- กระเทียมสับ 1/3 ถ้วย- พริกไทยดำคั่วป่น 1/2 ช้อนชา (หมัก)- พริกไทยดำคั่วป่น 1/2 ช้อนชา (ไว้โรยหน้า / ถ้าไม่ชอบกลิ่นพริกไทยมาก ไม่ต้องใส่ในส่วนนี้ก็ได้) - ซีอิ๊วขาว 1 + 1/2 ช้อนโต๊ะ- ซอสปรุงรส 1/2 ช้อนโต๊ะ- ซอสหอยนางรม 1 + 1/2 ช้อนโต๊ะ- น้ำตาลทราย 1/2 ช้อนชา- น้ำมัน  3 ช้อนโต๊ะ - ผักชีหั่นหยาบ 1 ต้นเล็กๆ 
ถ้วย = ถ้วยตวงมาตรฐาน   ส่วน ช้อนโต๊ะ-ช้อนชา = ช้อนตวงมาตรฐาน  เพื่อน ๆ สามารถอ่านรายละเอียด  สถานที่ซื้อ และวิธีการใช้ช้อนตวง ถ้วยตวง ได้ >> ที่นี่ << ค่ะ",แคลมาก,โปรตีนน้อย,ไขมันกลาง,คาร์บสูง,"ตับหมู, นมจืด, กระเทียม, พริกไทย, ซีอิ๊วขาว, ซอสปรุงรส,  ซอสหอยนางรม, น้ำตาลทราย, น้ำมัน, ผักชี",มี ตับ หมู กระเทียม พริกไทย แนะนำหน่อย,ตับ นม กระเทียม พริกไทย ซอสปรุงรส อยากจะทำเมนูอร่อยๆ เค็มๆ มัน ๆ ,มีตับเต็มไปหมด อยากเอามาทำอาหารที่ช่วยให้กินง่ายขึ้น
ซี่โครงหมูตุ๋นมะพร้าวอ่อนเห็ดหอม,"- ซี่โครงอ่อน (หมู) หั่นเป็นชิ้นยาวประมาณ 1.5 นิ้ว  1000 กรัม- เนื้อมะพร้าวอ่อน  หั่นเป็นเส้นกว้างประมาณ 1 ซม. 1 ถ้วย- น้ำมะพร้าวอ่อน 2 1/2 - 3 ถ้วย   (ปริมาณที่ใช้ ขึ้นกับเวลาที่ตุ๋น) - เห็ดหอมแห้งดอกใหญ่  แช่น้ำจนนิ่ม แล้วหั่นเป็นเส้น  1  ถ้วย- แปะก๊วยต้มสุก   1/3 ถ้วย- ซอสมะเขือเทศ  6 ช้อนโต๊ะ- น้ำตาลทรายแดง 5 ช้อนโต๊ะ   (อาจจะใช้น้อยกว่านี้ ขึ้นกับความหวานหอมของน้ำมะพร้าว) - ซีอิ๊วขาว 4 ช้อนโต๊ะ - เกลือสมุทรป่น 1 ช้อนชา 
***  สูตรนี้ทำแล้วได้ปริมาณ 4 ชามตามในภาพด้านบน  ถ้าต้องการทำน้อยลง ก็ลดปริมาณส่วนผสมแต่ละอย่างลง ให้เหลือสักอย่างละครึ่งนึงก็ได้นะคะ  เช่น โครงหมูเหลือ 500 กรัม  มะพร้าวอ่อนเหลือ 1/2 ถ้วย  ซอสมะเขือเทศเหลือ 3 ช้อนโต๊ะ อย่างนี้อ่ะค่ะ",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บสูง,"ซี่โครงหมู, เนื้อมะพร้าวอ่อน, น้ำมะพร้าวอ่อน, เห็ดหอมแห้ง, แปะก๊วย, ซอสมะเขือเทศ, น้ำตาลทรายแดง, ซีอิ๊วขาว, เกลือ ",ได้มะพร้าวมา อยากเอาทำอาหารคาว ใส่หมูด้วยจะได้อร่อยๆ,มีซี่โครงหมู มะพร้าวอ่อน เห็ดหอม แปะก๊วย อยากตุ๋นให้น้ำซุปหวานหอม ทำเมนูอะไรดี, อยากทำซี่โครงหมูตุ๋นเห็ดหอม น้ำมะพร้าว พอจะทำได้ไหม
เมี่ยงหมูย่าง,"
:: ส่วนผสมและเครื่องปรุง  ""หมูหมัก"" ::
- สันคอหมู 300 กรัม- ซีอิ๊วขาว 1 ช้อนโต๊ะ- ซอสปรุงรส 1 ช้อนโต๊ะ- น้ำมันหอย 2 ช้อนดต๊ะ- น้ำตาลทรายขาว 1/2 ช้อนโต๊ะ- พริกขี้หนูแห้งคั่วป่น 1/2 ช้อนโต๊ะ
:: ส่วนผสมและเครื่องปรุง  ""ไก่หมัก"" ::
- เนื้อสะโพกไก่ 300 กรัม- เกลือป่น 1/2 ช้อนโต๊ะ- ซีอิ๊วขาว 1 ช้อนชา- ซอสหอย 1/2 ช้อนโต๊ะ- น้ำมันงา 1 ช้อนชา
สำหรับไก่หมัก เพื่อน ๆ จะหมักแบบหมูหมักตามสูตรด้านบนก็ได้  หรือจะหมักแบบในสูตร ไก่หมัก ก็ได้ ขึ้นกับว่าชอบรสชาติแบบไหนและรสจัดขนาดไหนนะคะ  (แบบหมูหมัก รสจัด มีเผ็ดนิดๆ  แบบไก่หมัก รสเบา ๆ) 
เพื่อน ๆ ที่ไม่ทานไก่ อาจจะใช้หมูอย่างเดียว หรือเพื่อน ๆ ที่ไม่ทานหมู อาจจะใช้ไก่อย่างเดียวก็ได้ค่ะ
หมึก ในภาพด้านล่าง พิมไม่ได้ทำอะไรเลยค่ะ แค่ล้างทำความสะอาด แล้วหั่นเป็นชิ้นเฉยๆ  ก็ย่างได้เลยนะคะ  หรือใครจะคลุกซีอิ๊วดำสักนิดพอให้สีเข้ม ๆ ก็ได้เหมือนกันค่ะ 
เรื่องการตวง .. ในที่นี้ ถ้วย = ถ้วยตวงแบบมาตรฐาน    ช้อนโต๊ะ/หรือช้อนชา = ช้อนตวงแบบมาตรฐาน  เพื่อน ๆ สามารถอ่านรายละเอียดและวิธีการใช้ได้  >> ที่นี่ << นะคะ

 :: ส่วนผสมและเครื่องปรุง ""น้ำจิ้มแจ่ว""  และอื่นๆ  ::
- น้ำมะขามเปียกคั้นแบบข้นๆ 2 ช้อนโต๊ะ - น้ำตาลปี๊บ 3 ช้อนโต๊ะ- น้ำปลา 3 + 1/2 ช้อนโต๊ะ- น้ำมะนาว 1 ช้อนโต๊ะ- พริกขี้หนูแห้งคั่วป่น 1/2 ช้อนโต๊ะ หรือมากน้อยตามความเผ็ดที่ชอบ 
- ผักสลด ผักสลัด  เช่น  ผักกาดหอมเขียว แดง  ผักกาดคอส บัตเตอร์เฮด เรดคอรัล กรีนคอรัล (ที่เป็นใบ ๆ สามารถเอามาห่อหมูได้) มากน้อยตามชอบ- กะหล่ำปลี 1 หัว ใหญ่เล็กตามชอบ",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"สันคอหมู, ซีอิ๊วขาว, ซอสปรุงรส, น้ำมันหอย, น้ำตาลทรายขาว, พริกขี้หนูแห้ง, เนื้อสะโพกไก่, เกลือป่น, ซีอิ๊วขาว, ซอสหอย, น้ำมันงา, น้ำมะขามเปียก, น้ำตาล, น้ำปลา, น้ำมะนาว",มี สันคอ ซอสปรุงรส เครื่องปรุง กระเทียม ผัก พริก ทำอะไรได้บ้าง,อยากทำอาหารที่เฮลตี้  สันคอหมู ใส่ซอสปรุงรสอย่างทั่วถึง,มีมะพร้าว หมู ซอสปรุง เครื่องปรุงครบ ทำอาหารอะไร
หมูกรอบ สูตรหนังฟูกรอบ,- หมูสามชั้น 1 ชิ้น น้ำหนัก 800 กรัม- เกลือสมุทรป่น 4 ช้อนโต๊ะ - น้ำส้มสายชู ตราเด็กสมบูรณ์ (ส่วนที่ 1) 2 ช้อนโต๊ะ- น้ำส้มสายชู ตราเด็กสมบูรณ์ (ส่วนที่ 2) 2 ช้อนโต๊ะ - น้ำเปล่า 2 ลิตร- น้ำมันสำหรับทอดหมู 1 - 2 ลิตร- ซีอิ๊วดำ สูตร 1 ตราเด็กสมบูรณ์ มากน้อยตามชอบ,แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บน้อย,"หมูสามชั้น, เกลือสมุทร, น้ำส้มสายชู, น้ำส้มสายชู, น้ำเปล่า, น้ำมัน, ซี้อิ้วดำ",อยากเอาสามชั้น มาทำอาหาร อะไรดี ขอแบบกรอบกร้อบ กินที่กรุงเทพ กรอบไปถึงเชียงใหม่,หมูสามชั้น น้ำส้มสายชู เกลือ ทำอย่างไร ให้ กรอบฟู ,มีหมูสามชั้น ทำเมนูอะไรดี
วุ้นเส้นผัดแหนมไข่เค็ม,"- วุ้นเส้นสด 1 + ½ ถ้วย- แหนมสไลซ์ พร้อมทาน สุทธิลักษณ์1 ซอง- ไข่เค็ม 2 ฟอง (แกะเปลือกออก แล้วผ่าแต่ละฟองเป็น 4 ส่วน) - ไข่ไก่ 2 ฟอง- ชะอมเด็ด 2/3 ถ้วย- กระเทียมสับ 1 ช้อนโต๊ะ- พริกขี้หนูเม็ดใหญ่สีแดง หั่นเฉียง 5 - 10 เม็ด (ตามความเผ็ดที่ชอบ) - ซอสหอยนางรม 1 ช้อนโต๊ะ- ซีอิ๊วขาว 1 ช้อนโต๊ะ - น้ำมันสำหรับผัด 3 ช้อนโต๊ะ- น้ำซุป 3 ช้อนต๊ะ
รายละเอียดเกี่ยวกับถ้วยตวง (ถ้วย = ถ้วยตวง)  ช้อนตวง (ช้อนโต๊ะ ช้อนชา) อ่านได้ >> ที่นี่ << นะคะ",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"วุ้นเส้น, แหนม, ไข่เค็ม, ไข่ไก่, ชะอมเด็ด, กระเทียม, พริกขี้หนู, ซอสหอยนางรม, ซีอิ๊วขาว, น้ำมัน",มีวุ้นเส้น อยากเอามาทำอาหารรสชาติ เค็มๆ นัวๆ เปรี้ยวๆจากแหนม,มีไข่ วุ้นเส้น แหนม ทำอาหารอะไรดี อร่อยๆ ทำง่าย,วุ้นเส้น ทำอาหารอะไรที่อร่อย นัว เปรี้ยวถึง จากแหมไรงี้ แถมไขมันน้อย ดีต่อสุขภาพ
หมูทอดสามรส,"- สันนอกหมู หั่นชิ้นสี่เหลี่ยมพอคำ 300 กรัม- ซอสหมักหมูนุ่ม สูตร 1 วิกกี้ 3 ช้อนโต๊ะ- แป้งทอดกรอบ 1/2 ถ้วย- ซอสส้ม แจ๊สซี่ 3 ช้อนโต๊ะ- ซอสเผ็ด แจ๊สซี่ 1 ช้อนโต๊ะ  - น้ำปลา  1/4 ช้อนชา- น้ำส้มสายชู 1 ช้อนโต๊ะ - น้ำตาลทราย 2 ช้อนโต๊ะ- พริกไทยป่น 1/4 ช้อนชา - น้ำเปล่า 1/4 ถ้วย- งาขาวคั่ว 1 ช้อนโต๊ะ - น้ำมันสำหรับทอด 1/2 - 1 ถ้วย
*** ซอสส้ม ซอสเผ็ด ยี่ห้อแจ๊สซี่ (ขวดละ 40 กว่าบาท) / ซอสหมักหมูนุ่ม ยี่ห้อวิกกี้ (ประมาณ 20-21 บาท)  ซื้อได้ที่ BigC, Makro, MaxValu, Lotus และ TOPS บางสาขา บริเวณ ""ตู้แช่เย็น"" แผนกอาหารสดค่ะ 
*** รายละเอียดการตวง วิธีการใช้ช้อนตวง ถ้วยตวง ช้อนโต๊ะ ช้อนชา อ่านได้ >> ที่นี่ <<",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"สันนอกหมู, ซอสหมักหมูนุ่ม, แป้งทอดกรอบ, ซอสส้ม, ซอสเผ็ด, น้ำปลา, น้ำส้มสายชู, น้ำตาลทราย, พริกไทย, น้ำเปล่า, งาขาวคั่ว, น้ำมัน",มี สันนอกหมู และซอสต่างๆ ทำอะไรกินได้บ้าง,มีสันนอกหมู ซอสหมักหมูนุ่ม กระเทียม นม กะทิ น้ำผึ้ง อยากทำเมนูกลมกล่อมๆ ,มีสามชั้น สันนอก ซอสหมักหมู แป้งทดอ ซอสเผ็ด แนะนำเมนูที่ใช้วัตถุดิบพวกนี้ครบให้หมดหน่อย
