ชื่ออาหาร,วิธีทำ
ไก่ต้มน้ำปลาน้ำตาลมะพร้าว (สูตรไม่ใส่ซีอิ๊วดำ),"1: ล้างไก่ ตะไคร้ ใบมะกรูดและกระเทียมให้สะอาด หั่นตะไคร้เป็นท่อนๆขนาด 2-3 นิ้ว
 2: เปิดไฟใส่น้ำประมาณ 2 ช้อนโต๊ะลงในหม้อ แล้วใส่น้ำตาลมะพร้าวลงไปคนจนละลาย
 3: ให้ความร้อนต่อจนน้ำเริ่มระเหย น้ำตาลกลายเป็นซอสคาราเมล
 4: ใส่เนื้อไก่ลงไปในคาราเมลน้ำตาลมะพร้าว โดยให้นำส่วนด้านหนังลง
 5: จากนั้นเติมน้ำเปล่าลงไป เปลี่ยนเป็นไฟกลาง ผลิกด้านเอาหนังไก่ขึ้นด้านบน
 6: ใส่เครื่องสมุนไพรได้แก่ ตะไคร้ ใบมะกรูด และกระเทียมลงไป
 7: ปรุงรสด้วยซอสข้นปรุงรสคนอร์ รสไก่
 8: ปรุงรสเพิ่มด้วยน้ำปลาและซอสปรุงรส
 9: เปิดไฟกลางต้มตุ๋นต่อไปจนเนื้อไก่สุกเปื่อยดี
 10: เมื่อสุกดีแล้ว ตักใส่จาน ตกแต่งจานให้สวยงามด้วยผักชีและพริกแดง
 11: เราก็จะได้ไก่ต้มน้ำปลาน้ำตาลมะพร้าว ที่ปรุงครบรสด้วยซอสข้นคนอร์
 12: อย่าลืมเพิ่มความอร่อยแซ่บโดยการทานเนื้อไก่นุ่มๆพร้อมกับน้ำจิ้มซีฟู้ดแซ่บๆ"
ขนมจีนน้ำยาป่าปลาดุกย่าง,"1: แกะปลาดุกย่าง​ แยกเนื้อกับก้างและหัวปลา
 2: นำพริกแห้ง​ หอมแดง​ กระเทียม​ไปเผาไฟ​ แล้วนำไปต้มพร้อมตะไคร้​ทุบ กระชาย​ทุบ 3 ราก​ และก้าง+หัวปลา​ พอเดือดได้ที่แล้วกรองแยกน้ำ
 3: นำพริกแห้ง​ หอมแดง​ กระเทียม​ จากการต้มน้ำซุป​ไปตำให้ละเอียด​พร้อมกระชายสดที่เหลือ​ แล้วใส่เนื้อปลาลงไปตำด้วย
 4: ต้มน้ำซุปที่แยกไว้ให้เดือด​ ใส่เนื้อปลาที่ตำแล้วลงไป
 5: ปรุงรสด้วยเกลือ​ แล้วใส่ใบมะกรูดฉีกลงไป
 6: ตักเสิร์ฟ​พร้อมขนมจีน"
บะช่อตำลึงเต้าหู้หมูสับ,"1: น้ำต้มกระดูกหมู ใส่
- กระดูกหมู- รากผักชีทุบ- กระเทียมทุบ- เกลือ- พริกไทย(ขอโทษนะค้าา ตอนทำลืมถ่ายขั้นตอนแรกไว้ก่อนใส่หมูสับเลย)
 2: ใส่หมูสับลงไปเป็นก้อนๆตอนน้ำเดือด
 3: หั่นเต้าหู้เป็นชิ้นใหญ่ๆหน่อย เพื่อไม่ให้เต้าหูเละง่าย ใส่ลงหม้อได้เลย
 4: เตรียมเด็ดตำลึง ล้างให้สะอาดใส่ลงหม้อตอนสุดท้าย เปิดไฟให้น้ำเดือด ปิดฝาหม้อแปปนึงแล้วตักทานได้เลยค่ะ
 5: แนะนำให้ใส่ตำลึงเท่าที่จะทานแต่ละครั้ง เพราะจะได้ตำลึงเขียวๆสดๆแบบนี้ ถ้าใส่ทั้งหมดเลยตำลึงจะสุกเหินไปเป็นสีน้ำตาลๆไม่น่าทานค่ะ"
ไส้กรอกข้าว,"1: เห็ดหอมหั่นบางๆ แช่นำใว้ในตู้เย็น 1 คืน มันจะบานและนิ่มเด้งมาก
 2: กระเทียมสับแล้วโขลก
 3: กุนเชียงหั่นเป็นชิ้นเล็กๆ
 4: สามชั้นแยกเนื้อ กับมัน+หนังออกเลย แล้วหั่นชิ้นเล็กๆ
 5: รากผักชีล้างให้เกลี้ยงแล้วสับเล็กๆ
 6: นำไปตำให้ละเอียดอีกที
 7: หมูสับหมักกับรากผักชีกระเทียม ซีอิํวขาว เกลือสักครึ่งช้อน
 8: ok เตรียมเครื่องเสร็จละ
 9: นำเครื่องทั้งหมดไปผัด
 10: ปรุงด้วยนำมันหอย 2 ช้อน
 11: เติมน้ำลงไปเพื่อให้ส่วนผสมเข้ากันให้ทั่ว ผัดจนน้ำแห้ง
 12: ใส่ข้าวลงไปผัดให้ทั่ว
 13: นำไปกรอกใส่ในไส้
ดูวิธีการทำกระบอกแบบล๊อกได้นี้ ที่สูตรทำไส้กรอก Home Made ด้านล่างจะบอกทั้งวิธีทำกระบอก และวิธีการเตรียมไส้ครับ
 14: เสร็จแล้วนำไปผึ่งให้แห้ง สัก 2-3 ชั่วโมง
 15: ใช้ส้อมคมๆจิ้ม เพื่อเปิดรูระบายอากาศ ก่อนนำไปย่าง อบ หรือทอด
 16: ผมใช้หม้อลมร้อนอบ ใช้อุณหภูมิ 250 องศา C เป็นเวลา 13 นาทีครับ
 17: เสร็จแล้วจ้า หนังกรอบๆ พร้อมอร่อย
 18: ทานเล่นๆกับพริก จิ้มซีอิ๊วแบบจีนได้เลยครับ น้ำจิ้มซีอิ๊ว ก็ใช้ซีอิ๊วดำ ผสมน้ำส้มสายชูน้ำตาล ปรุงรสตามชอบ ใส่พริกตามชอบ รสจะออกหวานเปรียวนิดหน่อยครับ"
หมูตุ๋นเห็ดหอม,"1: ตั้งหม้อใส่น้ำมันรำข้าว ผัดสามเกลอให้หอม
 2: ใส่หมูเนื้อแดงหั่นชิ้นผัดให้พอสุก
 3: เติมน้ำสะอาด ตามด้วยเครื่องปรุงทั้งหมด
 4: ใส่เห็ดหอม
 5: เคี่ยวหรือตุ๋น 20-30 นาที ช้อนน้ำมันและฟองทิ้งด้วยนะครับ
 6: พอน้ำเริ่มงวดลงใส่กะหล่ำปลีลงไปต้มให้สุกครับ
 7: จะได้แบบนี้
 8: พร้อมทานครับ"
ต้มยำน้ำข้นปลาซาบะ,"1: วิธีเตรียมปลา!..นำปลาหั่นเป็นแว่นหนาๆ ล้างให้สะอาดใส่ตะกร้าพักให้สะเด็ดวิธีทำ!...นำหม้อตั้งไฟปานกลางใส่น้ำสะอาดรอให้เดือด ข่า ตะไคร้ หอมแดง ลงต้มจนมีกลิ่นหอม รอน้ำเดือด
 2: ใส่ปลา ที่เตรียมไว้ รอให้เนื้อเริ่มสุกให้ใส่เห็ด พริกขี้หนู นมข้นจืด น้ำพริกเผา น้ำปลา น้ำมะนาว น้ำตาล คนให้เข้ากัน
 3: ใส่ผักชีฝรั่ง ใบมะกรูด ชิมรสตามใจชอบปิดไฟ
 4: ตักใส่ถ้วยกินคู่ข้าวสวยร้อนๆ"
กะเพรากั้ง,"1: กั้ง นำมาล้าง
 2: ใช้กรรไกร เลาะเปิดเปลือกหลังออก ซ้าย/ขวาออก
 3: ใส่ซอสน้ำปลาปรุงรสลงไปเตรียมใว้
 4: ตำพริกกระเทียม
 5: เจียวให้หอม
 6: ตามด้วยกั้งลงไป
 7: หยอดน้ำหน่อยกันไหม้
 8: ใส่ใบกระเพรา เป็นอันว่าจบ
 9: พร้อมซี๊ดซ๊าดได้"
หอยลายผัดน้ำพริกเผา,"1: ตั้งกระทะ ไฟกลาง ใส่น้ำมันพืช ใส่กระเทียมผัดจนหอม
 2: ใส่น้ำพริกเผา ซีอิ๊ว
น้ำปลา น้ำตาลทราย ผัดให้เข้ากัน
 3: ใส่หอยลายลงไปผัดจนสุก
 4: ใส่โหระพา แล้วดับไฟ จัดใส่จาน"
ผัดเปรี้ยวหวานไก่กรอบ,"1: 1. คลุกสันในไก่กับแป้งเอนกประสงค์บางๆ ให้ทั่ว ลงทอดในน้ำมันร้อนๆ จนสุก เหลืองสวย ตักขึ้นพักไว้
 2: 2. เทน้ำมันออกให้เหลือติดกะทะนิดหน่อย ใส่กระเทียมสับลงผัดจนหอม เหลือง ใส่หอมใหญ่ มะขือเทศสีดา เห็ดหอม พริกหวาน และแตงร้าน ลงผัด
 3: 3. ปรุงรสด้วย น้ำตาลทราย ซอสปรุงรส ซอสมะเขือเทศ และน้ำส้มสายชู ผัดให้เข้ากัน
 4: 4. ใส่ไก่ที่ทอดไว้แล้ว ต้นหอมหั่น แล้วผัดให้ข้ากันอีกครั้งนึง"
กุ้งเผา,"1: อุ่นหม้อที่ไฟ 225 5 นาทีแล้ว
จับกุ้งเรียงใส่หม้ออบลมร้อนเอาชั้นสูง
 2: ตั้งเวลา 10 นาที ไม่ต้องด้านใดๆ
จะได้กุ้งสุกเนื้อหวาน หัวไม่แห้ง
 3: เรียบร้อย กินกับสะเดาหรือน้ำจิ้มซีฟู้ดหรืออะไรก็ได้"
ปลามงทอด,"1: ปลามงหั่นแล้วล้างเกลือให้สะอาด ซับน้ำให้แห้ง
 2: ตั้งเตาไฟกลางๆไปทางอ่อน น้ำมันร้อนก็ใส่ปลาลงไป
 3: ทอดข้างนึงประมาณ 5 นาทีก็กลับด้านแล้วทอดต่ออีก 5 นาทีก็เสร็จแล้ว"
ไก่ผัดเผ็ดกะทิสด,"1: ล้างอกไก่ให้สะอาด หั่นบางๆ
 2: ซอยใบมะกรูดหนา 1 มม เตรียมไว้ 🤣🤣🤣🤣
 3: ผัดพริกแกงกับกะทิ
 4: เติมน้ำตาลปี๊บ ซอสหอยนางรม ชิมรส
 5: เติมอกไก่ ผัดให้เข้าเนื้อ ปิดไฟ เติมใบมะกรูดซอย
 6: เสร็จพร้อมเสริฟ"
โจ๊กทรงเครื่อง 🥚,"1: ซอยวัตถุดิบในส่วนของเครื่องโรยหน้า ได้แก่ ขิง ต้นหอม และผักชี
 2: ปั้นหมูสับและกั่นตับหมูเตรียมไว้สำหรับต้มให้สุก
 3: ตั้งน้ำให้เดือดและนำหมูกับตับไปต้มจนสุก
 4: เสร้จแล้วตักขึ้นพักไว้
 5: ตามด้วยการต้มไข่
 6: ใช้น้ำใหม่ในการทำโจ๊ดนะคะ เมผงโจ๊กสำเร็จรูปตามด่วยน้ำเปล่า คนให้ข้น นำเครื่องลงไป ปิดไฟ (เราโรยพริกไทยเพิ่มนะคะ)
 7: ใส่ชาม โรยผักที่เตรียมไว้ เสร็จแล้วค่า"
แกงคั่วเห็ดเผาะใส่หน่อไม้ดอง,"1: ล้างเห็ดเผาะให้สะอาด ตักใส่ตะแกรงพักทิ้งไว้
 2: ต้มหน่อไม้ดองให้คลายรสเปรี้ยว บีบน้ำพักทิ้งไว้
 3: เทกะทิลงในกระทะในปริมาณ 1/4 ของกล่อง (ใช้ไฟกลาง) น้ำพริกแกงลงไปเคี่ยวถ้ากะทิแตกมัน
 4: เทกะทิที่เหลือลงไปหรือถ้าไม่ชอบแบบข้นๆให้ใช้น้ำแทน พอเดือดให้ใส่เห็ดเผาะลงไปต้ม
 5: ปรุงรสตามชอบให้ออกหวานเค็ม ชิมดูหากเห็ดที่ต้มสุกแล้วให้ใส่หน่อไม้ดองลงไป (ชะอมให้ใส่ก่อนปิดเตาประมาณ 3 นาที)"
ผัดผักรวมไก่สับ,"1: นำผักที่หั่นพอดีคำ ไปลวกในน้ำเดือด
 2: ตั้งกระทะ ใส่น้ำมันมะกอก เจียวกระเทียมสับให้หอม ใส่ไก่สับ ตอกไข่ไก่ ผัดพอสุก
 3: ใส่ผักที่ลวกไว้ ผัดต่อให้เข้ากัน เติมน้ำซุป
 4: ปรุงรสด้วยซอสหอยนางรม ซีอิ้วขาวโลว์โซเดียม"
แกงกะทิไก่หน่อไม้ดอง,"1: นำตีนไก่ที่ล้างแล้ว ไปตุ๋นกับหางกะทิ
 2: ต้มหน่อไม้ดอง 5-10 นาที (ต้มทิ้งน้ำ)
 3: ตั้งหม้อใส่หัวกะทิ พอกะทิเริ่มเดือด ให้ใส่พริงแกงลงในหม้อ ผัดให้พริกแกงเข้ากันกับกะทิ ผัดจนกว่าจะแตกมัน ใส่สะโพกไก่ลงไปผัดกับกะทิที่แตกมัน (ใช้ไฟแรง) ผัดจนไก่เริ่มสุก นำตีนไก่ที่ตุ๋นไว้ พร้อมกับหางกะทิที่ตุ๋นไก่มาใส่
 4: นำหน่อไม้ต้ม และเลือดไก่ใส่ลงในหม้อ แล้วเคี่ยวจนเลือดไก่สุก ปรุงรสด้วยน้ำปลา น้ำตาลมะพร้าว แล้วคนให้เข้ากัน จากนั้นใส่พริกชี้ฟ้าแดง และใบโหระพา คนให้เข้ากัน แล้วปิดไฟ"
ต้มยำน้ำข้นหมูเด้ง 🌶️,"1: ตั้งหม้อไฟกลางตามด้วยน้ำเปล่า นำตะไคร้ ใบมะกรูดใส่ลงไป รอจนน้ำเดือดได้ที่
 2: นำหมูเด้งใส่ลงไป รอจนสุกและลอยขึ้น ตักขึ้นพักไว้
 3: จากนั้นเติมซุปก่อน และ เกลือ รอน้ำเดือดอีกครั้ง ตามด้วยเห็ดชิเมจิ เพิ่มสีสันด้วยน้ำมันพริกเผา และนมจืด ปรุงรสตามชอบด้วย น้ำปลา มะนาว พริกป่น
 4: ตามด้วยหมูเด้งที่ตักไว้สักครู่ลงไป ปิดไฟ โรยใบมะกรูด และพริกแห้งทอด
 5: พร้อมทาน"
ห่อหมกปลากระพง,"1: ตำเครื่องแกง โดยใส่ส่วนผสมดังนี้
-พริกขี้หนูสด 12 เม็ด-ขมิ้น ความยาวประมาณ 2 ข้อนิ้ว-กระเทียม 3 กลีบ-ตะไคร้ 1 ต้น-ใบมะกรูด 2 ใบ (ตำลงไปในเครื่องแกงเพื่อให้เกิดความหอม)-กะปิ 1 ช้อนโต๊ะ-เกลือ 1/2 ช้อนชา-ผงคนอร์รสหมู 1/2 ช้อนชา-หอมแดง 1 หัวจากนั้นโขลกส่วนผสมทุกอย่างให้ละเอียด
 2: เตรียมภาชนะสำหรับผสม จากนั้นใส่เนื้อปลากระพงหั่นเต๋า เนื้อปลาซาบะสับละเอียด เครื่องแกงที่โขลกไว้ ไข่ไก่สด 1 ฟอง หัวกะทิประมาณ 120 ml. แล้วทำการปรุงรสด้วยน้ำตาลปี๊บ น้ำปลา อย่างละ 1 ช้อนชา คนให้เข้ากันจนเห็นเป็นเนื้อเดียวกัน
 3: รองผักที่ต้องการลงไปที่ก้นภาชนะ (ในสูตรจะใช้เป็นใบชะพลูและกะหล่ำปลี ความชอบส่วนตัว 😁) จากนั้นตักเครื่องแกงใส่ ตกแต่งหน้าด้วยปลาหมึก ใบโหระพาและพริก
 4: ใส่น้ำตั้งหม้อนึ่งโดยใช้ไฟแรง ตั้งไฟประมาณ 10 นาที จากนั้นเปิดฝาโรยหัวกะทิ ตั้งให้เดือดอีกครั้ง ปิดไฟตักใส่จาน พร้อมเสิร์ฟจ้า"
บะหมี่ผัดเย็นตาโฟแห้ง,"1: ใส่ซอสเย็นตาโฟโขลกพริกกระเทียมเข้าด้วยกัน เติมน้ำส้มสายชู ชิมจนกว่ารสชาติตามที่ชอบ
 2: ลวกบะหมี่ และลูกชิ้นต่างๆพอสุก
 3: ตั้งกระทะใส่น้ำมัน ใส่ปลาหมึกกรอบผัดให้สุกหอม
ตามด้วยเส้นบะหมี่ ใส่ซอสเย็นตาโฟที่ผสมไว้
 4: ใส่ลูกชิ้นต่างๆ ตามด้วยผักบุ้ง ผัดเร็วๆ ผักบุ้งสุก ปิดเตา เสิร์ฟ"
ผัดพริกแกงกุ้งถั่วฝักยาว,"1: ปอกเปลือก ผ่าหลัง ดึงไส้กุ้ง ใส่ลงในน้ำแข็งใส่เกลือ 1/2 ช้อนชา น้ำนิดหน่อย เวลาเอามาทำจะได้กุ้งที่กรอบค่ะ
 2: ล้าง หั่นถั่วฝักยาว ตั้งน้ำต้ม พอเดือดนำถั่วฝักยาวลงไปลวก เมื่อเปลี่ยนสี ยกขึ้น น็อคน้ำเย็น สะเด็ดน้ำพักไว้ จะได้ถั่วฝักยาวที่เขียวสวยค่ะ
 3: ตั้งกระทะใส่น้ำมัน ตีไข่ ใส่น้ำปลาคนแค่เข้ากัน ไม่ต้องเป็นฟองเหมือนไข่เจียวนะคะ พอน้ำมันเดือด รินไข่ลงไป พอไข่เริ่มเซทตัว ให้ใช่ตะเกียบคีบจากริมเข้ากลางแล้วหมุน น้ำไข่จะรินออกมา และทยอยสุกค่ะ ให้ความสุกอยู่ที่ 93.865% ค่ะ ตักไข่ออกโปะข้าวได้เลย 🤤
 4: ตั้งกระทะ ใช้น้ำมันที่เหลือจากทอดไข่ทอดกุ้งต่อเลยค่ะ ประหยัดคุ้ม นำกุ้งลงผัดให้สุก ตักออก
 5: นำพริกแกงลงผัดกับน้ำมันที่ใช้ผัดกุ้ง เติมน้ำนิดนึง
 6: เติมซอสหอยนางรม น้ำตาล ชิมรส ถ้าไม่เค็มค่อยเติมน้ำปลานะคะ เพราะพริกแกงมีรสเค็มอยู่ อย่าใจร้อนรีบเติมน้ำปลา ปิดไฟ
 7: นำกุ้งที่ผัดไว้ และ ถั่วฝักยาวลวกลงคลุก
 8: เติมใบโหระพา
 9: เติมใบมะกรูดซอยหนา 1 มม. เพิ่มความหอม
 10: เสร็จพร้อมเสริฟ"
ยำไข่ต้ม,"1: ต้มน้ำให้เดือด ใส่ไข่ลงไป จับเวลาตอนใส่ไข่ประมาณ 6 นาที
 2: พอครบ 6 นาที ให้นำไข่ขึ้นมาใส่ในน้ำใส่น้ำแข็ง
 3: แกะเปลือกไข่ ผ่าครึ่ง
 4: ปรุงน้ำยำด้วยน้ำมะนาว น้ำปลา และน้ำตาล คนใส่น้ำตาลละลายเข้ากัน ใส่พริกซอยกับหอมแดงซอย
 5: จัดไข่ต้มเสิร์ฟคู่กับน้ำยำ หรือราดน้ำยำไปเลย"
ต้มยำไก่,"1: 1.เตรียมวัตถุดิบต่างๆ ดังนี้
-ล้างอกไก่และซี่โครงให้สะอาด จากนั้นหั่นอกไก่ให้เป็นชิ้นขนาดพอดีคำ ส่วนซี่โครงก็ทำการหั่นเป็นส่วนๆ จากนั้นพักไว้-หั่นข้าวโพดอ่อนออกเป็น 4 ส่วน มะเขือเทศก็หั่นเป็น 4 ส่วนเช่นกัน
 2: 2.ใส่น้ำลงในหม้อ ใช้ไฟแรงสุด(กะทะไฟฟ้า) ใส่รากผักชี และเครื่องต้มยำหมดจนหมดซอง รอจนน้ำเดือดพล่าน จากนั้นใส่ซี้โครงไก่ลงไป ต้มไปจนกระทั่งซี่โครงเริ่มเปื่อยจึงค่อยใส่เนื้อหน้าอก ดอกข้าวโพด หอมใหญ่ ปิดฝาต้มต่อไปจนเนื้อไก่สุก ปรุงรสน้ำปลา น้ำตาลและมะนาวเพิ่มเติม ชิมรสชาติ เมื่อได้ที่แล้วจึงใส่มะเขือเทศแล้วต้นหอมลงไป ปิดฝานอให้เดือดอีกครั้ง เป็นอันเสร็จ ตักใส่ถ้วยโรยผักชีได้เลยจ้า"
แกงเขียวหวานไก่ใส่หน่อไม้,"1: ปอก หั่น ล้างหน่อไม้ แล้วนำลงต้ม 20 นาที สะเด็ดน้ำพักไว้ หั่นมะเขือเปราะ เด็ดมะเขือพวง แช่ในน้ำผสมเกลือ จะช่วยให้ผิวมะเขือไม่ดำค่ะ ก่อนนะมาใช้ ล้างน้ำ 3 ครั้ง เอาเกลือออกให้หมด สะบัดตะกร้า หยิบเฉพาะมะเขือลงไปในหม้อ จะช่วยไม่ให้แกงกะทิเสียง่ายค่ะ
 2: นำพริกแกงลงผัดกับหัวกะทิด้วยไฟอ่อนให้หอม แตกมันสวย
 3: ใส่เนื้อไก่ลงผัดให้พริกแกงเข้าเนื้อ
 4: เติมน้ำตาลปี๊บ คนให้ละลาย ที่เราใส่น้ำตาลปี๊บตอนนี้ เพื่อให้รัดผิวไก่ ไก่จะคงรูปไม่เละง่ายค่ะ เติมหางกะทิ ผงปรุงรส
 5: พอน้ำเดือด ใส่มะเขือเปราะ มะเขือพวง
 6: พอมะเขือเปราะเริ่มนิ่ม ปิดไฟ ใส่หน่อไม้ต้ม เลือดไก่
 7: ปิดท้ายด้วยใบโหระพา
 8: เสร็จพร้อมเสริฟ"
ผัดกะเพราขาหมูพะโล้,"1: เด็ดใบกะเพราแล้วนำไปแช่น้ำ ส่วนหนึ่งสะเด็ดน้ำแล้วนำไปทอดในน้ำมันให้กรอบ ก่อนนำขึ้นพักไว้
 2: สับกระเทียมกับพริกให้ละเอียด นำลงไปเจียวในน้ำมันให้หอม
 3: ใส่ขาหมูพะโล้ลงไปผัดให้แห้ง ระวังอย่างให้แห้งเกินไป เพราะอาจไหม้ได้
 4: ปรุงรสด้วยน้ำปลา ซีอิ๊วดำ และใส่ใบกะเพราไปผัดเป็นขั้นตอนสุดท้าย
 5: ตักเสิร์ฟพร้อมโรยหน้าด้วยใบกะเพรากรอบ"
กุ้งอบภูเขาไฟ,"1: นำวุ้นเส้นแช่น้ำให้นิ่มประมาณ15-20นาที
 2: ล้างกุ้งให้สะอาด พักสะเด็ดน้ำไว้
 3: เตรียมโขลกส่วนผสมข้อ 1-3 เข้าด้วยกัน
 4: นำซอสปรุงรส,ซอสหอยนางรม,ซีอิ้วดำ,น้ำตาลทราย ใส่ชามผสม คนให้ละลายเข้ากัน เติมน้ำเปล่ากะให้พอดีท่วมวุ้นเส้นที่แช่น้ำนิ่มแล้ว
 5: เมื่อส่วนผสมทุกอย่างพร้อมแล้ว ตั้งกะทะให้ร้อนไฟปานกลาง นำมันหมูลงไปเจียวให้หอมพอมีน้ำมันออกมา
 6: นำส่วนผสมข้อ1-3 ลงผัดให้หอม แล้วใส่กุ้งลงไป หาฝาปิด อบให้ตัวกุ้งพอเปลี่ยนสี แต่ยังไม่ต้องปล่อยให้สุกมาก พอได้ที่แล้วใส่วุ้นเส้นพร้อมน้ำปรุงรสที่ผสมไว้ ปิดฝาอีกครั้ง ประมาณ1นาที เปิดดูวุ้นเส้นว่าสุกหรือยังและน้ำปรุงรสซึมแห้งเข้าไปในวุ้นเส้นแล้ว แห้งพอดี ปรุงรสตามชอบ ใส่ขึ้นฉ่ายแล้วปิดฝาอบไว้ประมาณ1-2นาที ก็ยกลงจากเตา
 7: จัดใส่จานให้สวยงาม"
บะจ่างใบบัว,"1: แช่ข้าวเหนียวและถั่วลิสงไว้ อย่างน้อย 6 ชม. หรือข้ามคืน จากนั้น นึ่งข้าวเหนียว ด้วยไฟแรง 15 นาทีพอให้กึ่งสุกกึ่งดิบ
 2: นำหมูสามชั้น ลงผัดจนมีน้ำมันออกมาก แบ่งเห็ดหอม เห็ดหอมออกมาครึ่งถ้วย เครื่องเคียงทุกอย่าง (ยกเว้นไข่เค็มแปะก๊วย ) แบ่งอย่างละครึ่ง เหลือไว้แต่งหน้า ครึ่งถ้วยค่ะ
 3: ใส่ เครื่องปรุงรสทั้งหมดลงผัด พร้อมผงพะโล้ ผัดจนข้นขึ้นเล็กน้อย
 4: นำข้าวเหนียวลงไปผัดกับเครื่องปรุงรส
 5: เติมถั่วลิงสงลงไป ผัดต่อ ให้พอถั่วดูดซับเครื่องปรุง
 6: นำใบบัวลวกในน้ำเดือด เผื่อทำความสะอาดใบบัว และให้ใบบัวนิ่มลงห่อง่าย
 7: เตรียมเครื่องเคราต่างๆที่แบ่งไว้แต่งหน้า
 8: วางเครื่องทุกอย่างลงในใบบัว
 9: วางข้าวเหนียวที่ผัดแล้วปิดทับลงไป
 10: พับใบบัวให้ห่อข้าวเป็น 4 เหลี่ยม เอาใส่ลังถึงนึ่งไฟแรง 1ชม. จนกว่าข้าวจะสุก
 11: เมื่อข้าวสุดกรีดใบบัวเป็นแฉกเสริ์ฟได้
 12: หรือหากหาใบบัวใบไผ่ไม่ได้เลยจริงๆ เราสามารถจัดเรียงใส่ภาชนะ ทนความร้อน นึ่งได้เลยค่ะ"
ข้าวผัดไก่ย่าง,"1: ตั้งกระทะใส่น้ำมันลงไป พอร้อน ตอกไข่ลงไป ยีเล็กน้อยให้แตก รอไข่เซ็ทตัว
 2: เมื่อไข่เซ็ทตัว ใส่ข้าวลงไป ใช้ไฟแรงผัดใส่ไก่ย่างฉีกลงไป ปรุงรสด้วยซอสปรุงรส ซีอิ๊วขาว น้ำตาล ตามชอบ ผัดให้เข้ากัน ใส่ต้นหอมผักชีผัดคลุกเคล้า ปิดไฟ เป็นอันเสร็จ"
ดอกกะหล่ำผัดกุ้งเห็ดหอม,"1: หั่นทุกอย่างให้พร้อม
 2: นำเห็ดลงไปผัดกับน้ำมันจนหอม
 3: ใส่กุ้งกับกระเทียมลงไปผัดต่อ
 4: เมื่อกุ้งเกือบสุกตักขึ้นพักไว้ ใส่ดอกกะหล่ำลงไปเติมน้ำเล็กน้อย
 5: ปรุงรสตามชอบออกหวานเค็ม
 6: เมื่อปรุงเสร็จคลุกเคล้าให้เข้ากันปิดฝาไว้เพื่อให้ผักนิ่มเร็วขึ้น
 7: ใส่กุ้งที่พักไว้ลงไป
 8: ผัดต่อจนกุ้งสุก
 9: พร้อมเสริฟ"
น้ำพริกนรกแตก,"1: พริกแห้ง จะเห็นในสูตร มี 2 ชนิด เราแบ่งทำ 2 รสชาติ ล้างพริกแห้งให้สะอาด เอาขั้วพริกออกด้วยนะ อบแห้งอุณหภูมิ 80-100 องศาเซลเซียส ประมาณ 10-15 นาที จนพริกแห้งกรอบ พักไว้ให้เย็น
 2: ปั่นพริกแบบหยาบ แยกชนิดของพริกไว้
 3: ล้างกระเทียมไทยให้สะอาด ปั่นทั้งเปลือก ใครมีเวลาว่างจะแกะเปลือกด้วยก็ดีครับ 😅
 4: เจียวกระเทียมให้สุกกรอบ
 5: สูตรแรก พริกจินดาอบแห้งปั่นหยาบกระเทียมไทยเจียว ผงปรุงรสหมู/ไก่ และน้ำตาลสูตรสอง พริกหัวเรืออบแห้งปั่นหยาบกระเทียมไทยเจียว ผงปรุงรสปาปริก้า และน้ำตาลเปิดเตา คั่วไฟอ่อนๆให้ส่วนผสมเข้ากันดี พักไว้ให้เย็นก่อนเก็บใส่กระปุก
 6: น้ำพริกนรกแตก 2 สูตร
อร่อยคนละแบบ รสเผ็ดร้อน จัดจ้าน อร่อยได้ง่ายๆไม่ต้องไปถึงเชียงดาว แต่ถ้าไปแล้วแนะนำให้ซื้อชิม ซื้อฝากก็ดี อร่อยเช่นเดียวกันครับ 😂"
ใบเหลียงผัดไข่,"1: 1.เจียวกระเทียมกับน้ำมันให้หอม
ตอกไข่ใสลงไป
 2: 2.ผัดไข่ให้พอสุก
 3: 3.ใส่ใบเหลียง เติมเครื่องปรุง คือ น้ำมันหอย น้ำปลา น้ำตาลทราย รสดีนิดหน่อย
 4: 4.ผัดจนใบเหลียงสุก ตักเสริฟ
 5: อย่าลืมเติมน้ำเล็กน้อยตอนผัด เพื่อให้ใบเหลียงสุกง่ายขึ้น"
สะตอผัดกะปิ,"1: ตำพริกขี้หนู กระเทียม หอมแดงหยาบๆ
 2: ใส่กะปิลงไปตำให้เข้ากัน
 3: ใส่น้ำมันนิดหน่อย ผัดกะปิกระเทียมที่ตำชวไปผัดให้หอม
 4: กะปิหอมดี ใส่หมูลงไปผัดให้สุกเติมน้ำลงไปหน่อยใส่น้ำตาล
 5: ใส่สะตอและหอมใหญ่ลงไปผัด
 6: ใส่ใบมะกูดและบีบมะนาวลงไปปิดไฟได้"
