ชื่ออาหาร,วัตถุดิบ_ไม่มีปริมาณ,,query1 อยากกินอาหารครบ,query2 ,query 3 
ผัดไข่มดแดง,"ไข่มดแดง,  ไข่ไก่,  ต้นหอม,  กระเทียม,  พริกชีฟ้า,  มะเขือเทศสีแดง,  น้ำมันหอย, ซีอิ๊วขาว, ผงปรุงรสรสหมู, น้ำมันพืช",,มีไข่มดแดงเยอะมากก อยากเอามาทำผัดๆ,,
ผัดคะน้าหมู,"หมูสามชั้น, ผักคะน้า, พริกขี้หนู, กระเทียมใหญ่, น้ำมันหอย, น้ำตาลทราย, เต้าเจี้ยว, ซอสปรุงรส",,อยากกินผัดผักง่ายๆ ใส่คะน้า ใส่หมู รสชาติเค็มๆ,,
ผัดฉ่าหมู,"หมู, พริกชี้ฟ้า, ใบกะเพรา, พริกไทย, ยอดมะพร้าว, พริกขี้หนู, มะเขือเปราะ, น้ำปลา, พริกแกงเผ็ด, น้ำตาลทราย, ใบมะกรูด",,"อยากกินอาหารที่ พริกขี้หนู, มะเขือเปราะ, น้ำปลา, พริกแกงเผ็ด, น้ำตาลทราย, ใบมะกรูด ",,
ผัดชะอมวุ้นเส้นหมูสับ,"วุ้นเส้น,  ชะอม,  เนื้อหมู,  กระเทียม,  น้ำตาลทราย,  ซอสปรุงรส,  ซอสหอยนางรม",,อยากกินผัดชะอม ใส่วุ้นเส้น กระเทียม ไม่ค่อยหวาน,,
ผัดซีอิ๊ว + สอนเทคนิคผัดเส้นระดับโปร ♥️,"เส้นใหญ่, หมูหมัก หรือ เนื้อมัก, คะน้า, ไข่ไก่, ซีอิ๊วขาว",,อยากกินผัดซี้อิ้ว หมูเยอะๆๆๆๆ,,
ผัดซีอิ้วเส้นใหญ่,"น้ำมัน, กระเทียม, หมูหมัก, เส้นใหญ่, ซีอิ้วดำ, คะน้า, กระหล่ำปลี, แครอท, ไข่เป็ด, ไข่ไก่, ผงปรุงรส, น้ำตาลทราย, ซอสหอยนางรม, ซอสปรุงรส, พริกไทย",,มีเส้นใหญ่ อยากเอามาทำผัดอะไรสักอย่าง ใส่ไข่ด้วยเยอะๆ ,,
ผัดดอกกุยช่ายกุ้ง,"ดอกกุยช่าย, กุ้ง, น้ำเปล่า, ซอสหอยนางรม, ซีอิ๊วขาว, น้ำตาลทราย, กระเทียม, น้ำมันพืช",,ได้ดอกกุ่ยช่ายมา อยากเอามาทำอาหาร ใส่กุ้งเยอะๆ กระเทียมด้วยเพื่อเพิ่มความอร่อย,,
ผัดไทย (มีสูตรน้ำซอส),"เส้นเล็ก, ไข่ไก่, ถั่วงอก, ผักกุ๋ยช่าย, เต้าหู้, หัวไซโป้ว, กุ้งแห้ง, กระเทียม, กระเทียม, หอมแดง, น้ำมันพืช, ซอสพริก, ซอสมะเขือเทศ, น้ำตาลปี๊บ, น้ำมะขามเปียก, น้ำเปล่า, เกลือ",,เส้นเล็ก ไจ่ ถั่วงอก น้ำมัน กุ้งแก้ง ไจ่ น้ำตาล ซอสมะเขือเทศ ทำอาหารอะไรดี อยากให้ใช้วัตถุดิบนี้ทั้งหมด,,
ผัดบวบใส่ไข่,"บวบ, ไข่ไก่, น้ำมัน, กระเทียม, ซอสหอยนางรม, ซีอิ๊วขาว, น้ำตาลทราย, ผงปรุงรส",,มีบวบ ไข่ กระเทียม ซอสหอย เอามาทำอาหารอะไรดี ,,
ผัดเปรี้ยวหวานหมู,"เนื้อหมู, หอมหัวใหญ่, แตงกวา, มะเขือเทศ, กระเทียม, ต้นหอม, ซอสปรุงรส, น้ำตาล, ซอสมะเขือเทศ, ซอสหอยนางรม",,อยากกินอาหารที่อร่อยๆ รสชาติกินง่าย เด็กๆชอบ เปรี้ยวๆ หวานๆ ทำมาจากหมู หอมหัวใหญ่ ,,
ผัดผักบุ้งหมูสับ,"หมูบด,  กระเทียม,  พริกแดง,  ซีอิ๊วขาว,  น้ำมันหอย,  น้ำมันพืช,  น้ำเปล่า,  ผักบุ้ง,  น้ำตาล",,อยากกินผัดบุ้ง ใส่หมู  กระเทียม น้ำมันหอย,,
ผัดเผ็ดไก่บ้าน,"ไก่, พริกแกง, น้ำมันพืช, ใบมะกรูด, ใบกะเพรา, น้ำปลา, ซอสปรุงรส, น้ำตาล",,อยากกินผัดเผ็ดไก่บ้าน,,
ผัดเผ็ดไก่หน่อไม้ดอง,"เนื้ออกไก่, หน่อไม้ดอง, พริกชี้ฟ้า, กระเทียม, ใบโหระพา, น้ำปลา, น้ำตาล, น้ำมันหอย, น้ำเปล่า",,มีไก่ พริก หน่อไม้ทพอะไรกินได้บ้าง,,
ผัดพริกแกงคั่วไก่ใบยี่หร่า,"สะโพกไก่,  พริกแกง,  กะทิ,  กะปิ,  น้ำตาลปี๊ป,  ใบยี่หร่า,  ใบมะกรูด,  น้ำปลา,  น้ำเปล่า",,มีพริกแกงคั่วกลิ้ง กะปิ กะทิ น้ำตาล ไก่ ทำอะไรกินดี,,
ผัดพริกแกงถั่วฝักยาวหมู,"เนื้อหมู, พริกแกงเผ็ด, ถั่วฝักยาว, ผงปรุงรส, น้ำปลา, น้ำตาลทราย, ใบมะกรูด, น้ำเปล่า, น้ำมัน",,อยากกินถั่วฟักยาว เผ็ดๆ รสจัดๆ ,,
ผัดพริกแกงลูกชิ้นถั่วฝักยาว,"ลูกชิ้น,  ถั่วฝักยาว,  ใบโหระพา,  พริกแกง,  ซอสหอยนางรม,  น้ำตาล, น้ำมัน",,มีลูกชิ้นเยอะมาก อยากเอามาทำอาหาร,,
ผัดพริกแกงหมูสับถั่วฝักยาว,"หมูสับ, น้ำพริกแกงเผ็ด, ถั่วฝักยาว, น้ำมัน, น้ำตาลทราย, น้ำปลา",,มีหมูสับ มีพริกแกง ถั่วฟักยาว อยากทำอาหารอร่อยๆ,,
ผัดพริกแกงหมูใส่มะเขือเปราะ,"น้ำมัน,  กระเทียม,  เนื้อหมู,  พริกชี้ฟ้า,  พริกแกง,  มะเขือเปราะ,  ใบมะกรูด,  มะเขือพวง,  น้ำปลา,  น้ำเปล่า,  น้ำตาล,  น้ำมันหอย",,มีหมู มีพริกแกง มะเขือเปราะ ทำอาหารอะไรได้บ้าง,,
ผัดพริกไก่โหระพา,"ไก่,  พริกแกง,  พริกขี้หนู,  กระเทียม,  ใบโหระพา,  เกลือ,  ผงปรุงรส,  น้ำตาลทราย,  ซีอิ๊วดำ,  น้ำมันพืช,  น้ำเปล่า",,"อยากกินอาหารที่ทำจาก ไก่,  พริกแกง,  พริกขี้หนู,  กระเทียม,  ใบโหระพา",,
ผัดพริกหยวกหมู,"เนื้อหมู, พริกหยวก, หอมใหญ่, น้ำมันหอย, น้ำตาลทราย, ซีอิ้วขาว",,"มี พริกหยวก, หอมใหญ่, น้ำมันหอย, หมู ทำอะไรดี ขอคาร์บน้อย",,
ผัดฟักทอง,"ฟักทอง, ไข่ไก่, น้ำเปล่า, กระเทียม, ซีอิ๊ว, พริกไทย, ใบโหระพา, น้ำมัน",,มีฟักทอง ไข่ กระเทียม ทำอะไรดี,,
ผัดฟักทองใส่ไข่ นิ่ม ฟิน,"ฟักทอง,  ไข่ไก่,  น้ำตาล,  น้ำปลา,  แมกกี้, ซอสหอยนางรม,  กระเทียม",,อยากกินฟักทองใส่ไข่เยอะๆๆ,,
ผัดมะเขือยาวหมูสับ,"มะเขือยาว,  หมูสับ,  พริกขี้หนู,  โหระพา,  น้ำมันหอย,  น้ำตาล,  ซอสปรุงรส,  เต้าเจี้ยว",,มีมะเขือยาว มีหมูสับ  มีพริก โหระพา ทำเมนูอะไรดี,,
ผัดมะเขือยาวหมูสับโหระพา,"หมูสับ, ใบโหระพา, มะเขือยาว, น้ำมัน, กระเทียม, พริกแดง, ซอสหอยนางรม, เต้าเจี้ยว, ซีอิ๊วขาว, น้ำตาลทราย, คนอร์",,อยากกินมะเขือยาว โหระพาเยอะๆๆ,,
ผัดมาม่าคอหมูย่างไข่ดาว,"คอหมู, ไข่เป็ด, พริกจินดา, แคร์รอต, กระเทียม, กะหล่ำปลี, บะหมี่กึ่งสำเร็จรูป, ผงหมัก, น้ำมันหอย, บะหมี่กึ่งสำเร็จรูป",,มีเส้นมาม่า มีสันคอหมู  กะหล่ำ เห็ด อยากทำอาหารยามดึก อิ่มๆ ,,
ผัดยอดมะพร้าวอ่อนใส่หมูสับ,"หมูสับ,  ยอดมะพร้าว,  น้ำมันหอย,  ซีอิ้วขาว,  ซอสปรุงรส,  น้ำตาลทราย,  กระเทียม,  พริกขี้หนูสวน,  ใบกะเพรา,  น้ำมันสำหรับผัด,  น้ำเปล่า,  พริกไทยป่น",,มียอดมะพร้าวอ่อน หมูสับ ซิ้อิ้ว ข้าว ทำอะไรกินดี ,,
ผัดวุ้นเส้น,"วุ้นเส้น, เนื้อหมู, ไข่ไก่, หอมใหญ่, มะเขือเทศ, กระเทียม, ต้นหอม, แครอท, กะหล่ำปลี, น้ำตาล, น้ำมันหอย, น้ำปลา, พริกไทย, ผักชี, น้ำมัน",,อยากกินผัดวุ้นเส้น,,
ผัดสะตอกุ้งหมูสับ,"กุ้ง,  หมูสับ,  สะตอ,  พริกจินดา,  พริกขี้หนู,  กระเทียม,  พริกชี้ฟ้า,  กะปิ,  น้ำปลา,  น้ำตาลทราย,  มะนาว,  น้ำมันพืช,  น้ำมันหอย",,มีสะตอ กุ้ง หมู พริก มะนาว อยากกินเผ็ดๆ,,
ผัดหน่อไม้ใบโหระพา,"หน่อไม้,  อกไก่,  กระเทียม,  พริกขี้หนู,  พริกชี้ฟ้า,  ใบโหระพา,  ซีอิ๊วขาว",,มีหน่อไม้ ใบโหระพา อกไก่ กระเทียม พริกขี้หนู อยากกินที่อร่อยๆ,,
ผัดหมี่เบตง,"หมี่,  หมูบด, หมูแดง, กุนเชียง, ฮือก๊วย,  ผักคะน้า, ต้นหอม, ผงปรุงรสหมู,  น้ำมันหอย,  น้ำตาลทราย,  น้ำซุป,  กระเทียม,  น้ำมัน,  น้ำเปล่า,  ซีอิ้วดำ",,มีหมี่เบตง หมู กุนเชียง  ผักคะน้า,,
ผัดหอยลายใบโหระพา,"หอยลาย,  กระเทียม,  พริกขี้หนู,  ใบโหระพา,  น้ำเปล่า,  เต้าเจี้ยว,  ซอสหอยนางรม,  น้ำปลา",,มีหอยลาย กระเทียม พริกขี้หนู ใบโหระพา อยากกินอาหารอร่อยๆเค็มๆ,,
ผัดหอยลายพริกเผาใส่นมข้นจืด,"หอยลาย,  กระเทียม,  พริก,  ใบโหระพา,  น้ำพริกเผา,  น้ำปลา,  นมข้นจืด,  น้ำเปล่า",,อยากกินหอยลาย กระเทียม พริกแดง พริกเผา เอามาทำอาหาร,,
ผัดเห็ดรวมน้ำมันหอย,"เห็ดออรินจิ,  เห็ดฟาง,  เห็ดนางฟ้า,  กระเทียม,  น้ำมันพืช,  ซีอิ้วขาว,  น้ำตาลทราย,  น้ำมันหอย,  น้ำเปล่า,  ต้นหอม,  พริกไทย,  พริกชี้ฟ้า",,มีเห็ดเยอะมากกก อยากเอามาทำอาหารอร่อยๆ,,
ผัดเห็ดรวมสารพัดประโยชน์,"เห็ด,  กระเทียม,  พริกขี้หนู,  โหระพา,  ซอสหอยนางรม,  ซีอิ้วขาว,  น้ำตาลทราย,  น้ำมัน",,มีเห็ดนางรม เห็ดโคน กระเทียม พริกขี้หนู อยากเอามาทำอาหาร ให้หมด,,
เผือกหิมะ,"เผือก,  น้ำตาลทราย,  เกลือ,  ใบเตย,  น้ำมัน, น้ำเปล่า",,มีเผือก น้ำตาล เกลือ ใบเตย ทำขนมหวาน ,,
พริกหยวกผัดไข่,"พริกหยวก,  ไข่ไก่,  น้ำตาล,  น้ำปลา,  น้ำมัน,  น้ำเปล่า,  กระเทียม",,มีพริกหยวก ไข่ อยากทำอะไรเผ็ดๆกิน ,,
พะแนงหมู,"หมู, น้ำพริก, กะทิ, ถั่วฝักยาว, ใบมะกรูด, พริกชี้ฟ้า, น้ำตาล, น้ำปลา",,มีหมู กับน้ำพริกพแนง ขอรสชาติกำลังดี ,,
พะโล้ไข่เป็ดต้มแซ่บ,"น้ำ, ปีกไก่, ไข่เป็ด, รากผักชี, อบเชย, โป๊ยกั๊ก, น้ำตาลมะพร้าว, น้ำปลา, เกลือ, มะนาว, พริกขี้หนู, พริกจินดา, ผักชี",,อยากกินพะโล้ แต่อยากให้เผ็ดๆแซ่บๆ ใส่พริก มะนาว ไปเพิ่ม,,
พิซซ่าไข่ขาว,"ไข่ขาว, ควินัว, ซอสพิซซ่า, ชีส, พริกหวาน, มะเขือเทศ, เห็ด, ใบโหระพา",,อยากกินพิซซ่า แต่แบบสุขภาพดี ใส่ไข่ขาว ควินัว มะเขือเทศ ทำอะไรกินดี,,
มะม่วงไม่รู้หาว มะนาวไม่รู้โห่,"มะม่วงหาวมะนาวโห่, น้ำตาลทรายแดง, เกลือ, น้ำเปล่า, ใบเตย",,อยากกินอะไรที่เปรี้ยวๆ ทำด้วยมะม่วงหาวมะนาวโห่,,
มักกะโรนีอบชีส,"มักกะโรนี, น้ำเปล่า, นมข้นจืด, ชีส",,มีมักกะโรนี ชีส อยากกินแบบเมนูเด็กอ้วน,,
มันบดกระเทียมย่าง,"มันฝรั่ง, กระเทียม, น้ำมัน, เกลือปรุงรส, พริกไทยปรุงรส, ลูกจันทน์, ครีม, เนย,เกรวี่มิกซ์, ครีม, น้ำสะอาด",,มีมันฝรั่ง กระเทียม น้ำมัน เกลือ ครีม ทำอะไรกินดี,,
มันบดอบชีส,"มันฝรั่ง, นมสด, ครีม, มอสซาเรล่าชีส, เชดด้าชีส, เกลือ, พริกไทยดำ, เนย",,อยากกกิยมันบดอบชีสส อร่อยๆเยิ้มๆ,,
มาม่าต้มยำไข่ตุ๋น,"มาม่า, ไข่ไก่, กุ้งขาว, ข่า, ตะไคร้, ใบมะกรูด, ผักชีฝรั่ง, ผงปรุงรส, น้ำเปล่า",,อยากกินมาม่า ไข่ไก่  กุ้ง เหมาะสำหรับมื้อดึก,,
มาม่าผัดไข่,"มาม่า, ไข่, กะหล่ำปลี, ซอสหอยนางรม, รสดี, น้ำตาล",,มีไข่ กับเส้นมาม่า ทำอะไรได้บ้าง ,,
เมอแรงค์,"ไข่ขาว, น้ำตาลทราย, แป้งข้าวโพด, เกลือ, กลิ่นวนิลา",,อยากกินขนมหวานแบบผู้ดี มีไข่ น้ำตาบ แป้งข้าวโพด,,
เมี่ยงคำ,"น้ำตาลมะพร้าว, น้ำเปล่า, กะปิ, ข่า, ถั่วลิสง, มะพร้าว, ใบชะพลู, มะพร้าวซอยคั่ว, กุ้งแห้ง, ขิง, หอมแดง, พริกขี้หนู, มะนาว",,อยากอีสเมี่ยงคำ,,
เมี่ยงปลาทู,"ปลาทู, พริกขี้หนู, กระเทียม, ขนมจีน, เส้นหมี่, ผักกาดขาว , โหระพา, ผักชี, สะระแหน่, กระเทียมไทย, พริกขี้หนู, ถั่วตัด, น้ำมะนาว, น้ำเชื่อม, น้ำปลา, เกลือ",,มีปลาทู พริกขี้หนู กระเทียม ขนมจีน เส้นหมี่ ผักกาด ,,
ยำกุ้งสด ปลาร้ายั่ว,"กุ้ง, พริก, น้ำตาล, น้ำมะนาว, น้ำปลา, น้ำปลาร้า, มะนาว, หอมแขก, ผักชีฝรั่ง",,อยากกินยำยั่วๆอร่อยๆ กุ้งเยอะๆ พริกเยอะกว่า,,
ยำกุนเชียง,"กุนเชียง,  มะเขือเทศ,  หอมใหญ่,  แตงกวา,  พริกขี้หนู,  น้ำตาลทราย,  น้ำมะนาว,  น้ำปลา,  น้ำส้มสายชู",,มีกุนเชียง มะเขือเทศ แตงกวา หอมใหญ๋ อยากทพเมนูที่เปรี้ยว เผ็ดถึง,,
ยำไก่ (อาหารเหนือ),"ไก่, พริก, น้ำปลา, ผักชี, ต้นหอม, ผัก, ตะไคร้, น้ำ, ใบมะกรูด",,มีไก่ พริก น้ำปลา ผักชี ต้นหอม ตะไคร้ ทำอะไรได้บ้างขอคาร์บน้อย,,
ยำไก่แซบ,"เนื้อไก่, แป้งทอดกรอบ, หอมแดง, หอมหัวใหญ่, ข้าวคั่ว, พริกป่น, น้ำตาลทราย​, คนอร์, ต้นหอม​, น้ำปลา",,มีไก่ หอมแดง ข้าวคั่ว พริกป่น คนอร์ ,,
ยำขนมจีน,"ขนมจีน, ปลาทู, ถั่วฝักยาว, ต้นหอม, กระถิน, พริกขี้หนู, น้ำปลาร้าต้มสุก, น้ำมะนาว, น้ำตาลปี๊บ, น้ำปลา, พริกป่น",,มีขนมจีน ปลาทู ถั่วฟักยาวต้นหอม เมล็ดกระถิน ทำอะไรกินได้บ้าง,,
ยำไข่มดแดงสุดแซ่บ,"ไข่มดแดง,  ต้นหอม,  ผักชี,  สะระแหน่,  หัวหอมแดง,  พริกป่น,  น้ำปลา,  ผงชูรส,  ข้าวคั่ว,  พริกชี้ฟ้า,  มะนาว",,ไข่มดแดง ต้นหอม ผักชี สะระแหน่ ขาวคั่ว ทำอาหารแซ่บๆ ,,
ยำไชโป๊ว,"พริกขี้หนู,  หัวไชโป๊ว,  หอมแดง,  น้ำปลา,  น้ำตาล,  มะนาว",,มีหัวไชโป้ว พริกขี้หนู อยากกินอะไรเผ็ด เปรี้ยว,,
ยำปลากระป๋องทรงเครื่อง,"ปลากระป๋อง,  ตะไคร้,  หอมแดง,  ผักชี,  ใบโพระพา,  ใบมะกรูด,  พริกขี้หนู,  มะนาว",,อยากกินยำปลากระป๋อง หอมแดง ผักชี ใบมะกรูด,,
ยำปลาไข่ทอดกรอบ,"ปลาไข่,  ดอกอัญชัน,  แป้งโกกิ,  เกล็ดขนมปัง,  ไข่ไก่,  น้ำพริกเผา,  น้ำปลา, พริกขี้หนู,  หัวหอม",,มีปลาไข่ ดอกอัญชัน แป้งโกกิ น้ำพริกเผา อยากเอามาทำอาหาร ,,
ยำมะเขือยาวกุ้งแห้ง,"มะเขือยาว,  กุ้งแห้ง, พริกแดง,  หัวหอม,  ต้นหอม,  กระเทียม,  มะนาว,  น้ำปลา, น้ำตาลทราย,  หมูบด,  ผักชี",,"มีมะเขือยาว,  กุ้งแห้ง, พริกแดง,  หัวหอม ทำอะไรกินดี",,
ยำมะเขือยาวเผาไข่ต้ม,"มะเขือยาว,  หมูสับ,  ไข่ต้ม,  หัวหอม,  พริกขี้หนู,  น้ำปลา,  น้ำตาล,  น้ำมะนาว,  ใบมะกรูด",,มีมะเขือยาว หมูสับ หัวหอมแดง พริกกขี้หนู อยากเอามาทำอาหารอร่อยๆ คาร์บน้อย,,
ยำมะม่วงแบบง่ายมาก,"มะม่วง, หอมแดง, น้ำปลา, น้ำตาลทราย, ข้าวคั่ว, พริกป่น",,อยากอีสยำมะม่วงแบบง่าย อร่อยๆ,,
ยำมาม่าหมูยอหมูสับ,"มาม่า, หมูยอ, หมูบด, มะเขือเทศ, หอมใหญ่, ผักชี, น้ำมะนาว, พริกขี้หนู, น้ำซุป, น้ำตาลทราย, น้ำปลา",,มีหมูยอ มาม่า หมูบด มะเขือเทศ หอมใหญ่ อยากกินยำ,,
ยำแมงกะพรุน,"แมงกะพรุน, พริกขี้หนู, กระเทียมไทย, น้ำปลา, น้ำตาลปี้บ, มะนาว, หอมใหญ่, ถั่ว",,อยากกินยำ ใส่แมงกระพรุน น้ำปลาเยอะๆๆๆ,,
ยำเล็บมือนาง,"เล็บมือนาง,  ต้นหอม,  ผักชี,  หอมใหญ่,  มะเขือเทศ,  พริกจินดา,  มะนาว,  น้ำปลา,  น้ำตาล,  เกลือ",,มีเล็บมือนาง ต้นหอม หอมใหญ่ มะเขือเทศ มะนาว น้ำตาล เกลือ ทำเมนูอะไรดี ,,
ยำส้มโอ,"ส้มโอ, กุ้งลวก, มะพร้าวขูด, ถั่วลิสง, หอมแดง, พริกชี้ฟ้า, ใบมะกรูด, ใบทองหลาง, พริกแห้ง, หอมแดง, กระเทียม, น้ำตาลปี๊บ, น้ำปลา, น้ำมะขามเปียก",,มีส้มโอ กุ้งลวก อยากทำยำใส่มะพร้าวเยอะๆ,,
ยำสลัดอะโวคาโดกุ้ง,"อะโวคาโด, กุ้ง, กรีนโอ๊ก, เรดโอ๊ก, ไอซ์เบิร์ก, ผักคอส, แตงกวา, มะเขือเทศ, น้ำสลัดครีม, พริกขี้หนู, ผักชี, น้ำมะนาว, น้ำปลา, น้ำตาลปี๊บ",,อยากลองกินอโวคาโดในรูแปบบอื่นบ้าง ใส่ กุ้ง พริก พัก แตงกวา,,
ยำอกไก่ฉีก ,"อกไก่,  น้ำเปล่า, แตงกวา,  มะเขือเทศ,  หัวหอมแดง,  เกลือ,  มะนาว,  พริกขี้หนู,  น้ำเชื่อม,  ขึ้นฉ่าย,  พริกป่น,  น้ำตาลทราย",,อยากกินอกไก่ฉีกแบบเผ็ดๆ มีพริกป่น ขึ้นฉ่าย นำ้ตาล มะนาว เกลือ,,
โยเกิร์ตโฮมเมด,"นมสด, โยเกิร์ต, ถั่ว, มะม่วง, น้ำผึ้ง, บลูเบอร์รี่",,มี นมใกล้บูด กับโยเกิร์ต สตอเบออรี่ ทำอะไรกินดี,,
ลาบมาม่า,"มาม่า, หมูสับ, ผักชี, หอมแดง, หอมใหญ่, ข้าวคั่ว, พริกป่น, น้ำตาลทราย, น้ำมะนาว, น้ำปลา, ผักชี",,มีมาม่า หมูสับ ผักชี หอมแดง ทำอาหารอะไร,,
ลาบหมู,"หมูสับ, น้ำเปล่า, ต้นหอม, ใบสะระแหน่, ผักชี, หอมแดง, พริกป่น, น้ำปลา, น้ำมะนาว, ข้าวคั่ว, น้ำตาล, พริกแห้ง",,อยากอีสลาบหมู เผ็ด พนิกป่นเยอะๆ น้ำปลา มะนาว,,
ลาบหมูทอด,"หมูสับ,  น้ำตาล,  น้ำปลา,  น้ำมะนาว,  ผงปาปริก้า,  ข้าวคั่ว,  ต้นหอม,  แป้งทอดกรอบ,  น้ำมัน",,มี หมู น้ำมัน แป้งทอดกรอบ พริก มะนาว น้ำปลา อยากกินแบบใหม่ๆ เอาไปทอด,,
วิธีทำเต้าส่วน,"ถั่วเขียว, น้ำเปล่า, น้ำตาลทราย, เกลือ, หัวกะทิ, แป้งท้าวยายม่อม, แป้งมัน, น้ำเปล่า",,มีถั่วเขียว น้ำเปล่า เกลือ น้ตาล แป้ง กะทิ ใบเตย อยากเอามาทำขนมหวาน,,
วุ้นกะทิมะพร้าวน้ำหอม,"น้ำมะพร้าว, น้ำเปล่า, เนื้อมะพร้าวอ่อน, หัวกะทิ, ผงวุ้น, น้ำตาลทราย, เกลือ",,อยาเอาน้ำมะพร้าวน้ำหอมมาแปรรูปเป็นวุ่น ใส่กะทิ เพิ่มไปด้วย,,
วุ้นเส้นผัดไข่,"วุ้นเส้น,  มะเขือเทศ,  ต้นหอม,  ผักกาดขาว,  ไข่ไก่,  ซีอิ๊วดำ,  น้ำมันหอย,  น้ำเปล่า,  กระเทียมไทย,  น้ำมันพืช",,อยากกิน วุ้นเส้น แต่เอาไปทำอาหารกับมะเขือเทศ ผักกาด ไข่ขาว ซีอิ้ว ,,
สตูไก่ สูตรไม่ใส่เครื่องเทศ,"สะโพกไก่,  เกลือ,  พริกไทย,  มันฝรั่ง,  แครอท,  แป้งสาลี,  น้ำมัน,  เนย,  กระเทียม,  หอม,  ผงปรุงรส,  ซอสมะเขือเทศ",,อยากกินสตูไก่,,
สปาเก็ตตี้ขี้เมาทะเล,"ใบกะเพรา, เส้นสปาเก็ตตี้, เห็ด, เนื้อหมู, กุ้ง, ปลาหมึก, ผัก, พริก, กระเทียม, ซอสหอยนางรม, ซีอิ๊วขาว, น้ำปลา, ซีอิ๊วดำ, น้ำตาล, น้ำมัน",,มีใบกะเพรา เห็ด เส้นสปาเก็ตตี้ ะริก กระเทียม กุ้ง ทำเมนูเผ็ด เค็ม อร่อย ,,
สปาเก็ตตี้คาโบนาราไข่เค็ม,"เส้นสปาเกตตี้, ครีม, เบคอน, หอมหัวใหญ่, กระเทียม, ชีส, ไข่แดง, เกลือ, พริกไทย, พาร์สลีย์",,มีเส้นสปาเก็ตตี้เหลือจากครั้งที่แล้ว นอกจากนี้ได้ไปซื้อวัตถุดิบเพิ่ม เบคอน ครีม หอมหัวใหญ่ ชีส ไข่แดง ,,
ส้มตำข้าวโพด ฉบับมือใหม่หัดแซ่บ,"แครอท, มะละกอ,, ข้าวโพด,  ถั่วฝักยาว,  ถั่วลิสง,  น้ำตาลปี๊บ,  น้ำปลา,  เกลือ,  น้ำมะนาว,  พริกขี้หนู, กระเทียม,  มะเขือเทศ, กุ้งแห้ง",,มีข้าวโพด แครอท มะละกอ ถั่ว กระเทียม พริก กุ้งแห้ง อยากกินส้มตำนัวๆ,,
ส้มตำถาดแซลมอน,"เนื้อปลาแซลมอม, มะละกอ, มะเขือเทศ, น้ำมะนาว, พริกแดง, ผักชี, น้ำปลาร้า, น้ำตาลปี๊บ, น้ำปลา",,มีแซลมอน มะละกอ มะนาว พริก ทำอาหารอะไรดี,,
ส้มตำทอด,"มะละกอ,  แป้งโกกิ,  น้ำเปล่า,  กระเทียม,  พริกขี้หนู,  น้ำปลา,  น้ำตาลปี๊บ,  มะนาว,  มะเขือเทศ,  ถั่วฝักยาว,  กุ้งแห้ง, ถั่วลิสง",,มีมะละกอดิบ แป้ง น้ำ น้ำตาล มะนาว มะเขือเทศ กุ้ง ถั่ว ,,
ส้มตำผลไม้,"ข้าวโพด, สับปะรด, แอปเปิล, ฝรั่ง, ส้มโอ, ลูกพลับ, มะเขือเทศ, พริกแดง, กุ้ง, ถั่วลิสง, มะนาว, กระเทียม, น้ำตาล, น้ำปลา",,อยากกินตำผลไม้ ข้าวโพด สัปปะรด แอปเปิ้ล ,,
ส้มตำหมึกสาย,"หมึก,  หอยแครง,  มะละกอ,  กระเทียม,  พริก,  มะเขือเทศ,  มะนาว,  น้ำปลา,  น้ำตาลปิ๊บ,  น้ำปลาร้า,  น้ำมะขามเปียก,  แครอท,  มะเขือ",,ในตู้เย็นมีหมึก กระเทียม พริกไทย มะละกอ มะนาว หอยแครง ,,
ส้มตำหมูยอ,"มะละกอ, มะเขือเทศ, ถั่วฝักยาว, กุ้งแห้ง, พริกแห้ง, พริกแดง, น้ำปลาร้า, น้ำตาลปีบ, น้ำปลา, น้ำมะนาว, หมูยอ, น้ำมะขามเปียก, กระเทียม",,มีหมูยอ ถั่วฟักยาว กุ้ง พริก มะนาว มะละกอ ,,
ส้มตำหอยแครง,"หอยแครง, มะละกอ, มะเขือเทศสีดา, มะเขือ, มะเขือเปราะ, น้ำมะนาว, พริกแดงจินดา, ผักชี, น้ำปลาร้า, น้ำตาลปี๊บ, น้ำปลา",,มีหอยแครงเยอะมากกกกก เอาไปทำเมนูที่เผ็ด เปรี้ยว ถึงใจ,,
สลัดทูน่ากระป๋องแบบง่าย,"ทูน่ากระป๋อง, ผัก, น้ำสลัด, มายองเนส",,"อยากจะทำอาหารที่ใช้ทูน่ากระป๋อง, ผัก, น้ำสลัด, มายองเนส ",,
สลัดผักผลไม้,"ผักกาดหอม, แครอท, กะหล่ำ, ข้าวโพด, แอปเปิ้ล, แคนตาลูป, แก้วมังกร, องุ่น, กีวี่, น้ำสลัด",,มี ผักกาด กะหล่ำ ข้าวโพด แอปเปิ้ล แคนตาลูป ทำอาหารอะไร,,
สลัดมันฝรั่งสไตล์ญี่ปุ่น,"มันฝรั่ง, หัวหอม, แตงกวาญี่ปุ่น, แฮม, มายองเนส, เกลือ, พริกไทย, แครอท, เกลือ",,"อยากกินสลัดสไตล์ญี่ปู่น โดยอยากใช้ มันฝรั่ง, หัวหอม, แตงกวาญี่ปุ่น, แฮม, มายองเนส, เกลือ",,
